DSIDP TDX-ORB-3-RSO+CTS-RSG_2019_066_22_00_2019_067_12_00
COMENT TerraSAR-X SST Two-Step Processing
COMENT For best results cut the orbit to the period
COMENT 22:50:00 - 10:50:00
COSPAR 2010-030A
PERIOD  70045 79251184000  70055 43281184000
INIREV 48306
OBSINF SLR n = 85
OBSINF GPC n = 11692
OBSINF GPP n = 11692
PARAMS MNA EX  EY  EZ  EXD EYD EZD BTC BTS BTD BTT BNC BNS BND BNT
QUALCO Sta_Dev_Initial_Elements = 93 103 63 mm, 231 243 172 mu/s
QUALCO RMS_Obs_Laser            = 31 mm; n = 85,  elim = 0
QUALCO RMS_Obs_GPScode          = 460 mm; n = 11107, elim = 585
QUALCO RMS_Obs_GPSphase         = 6 mm; n = 11107, elim = 585
TFRAME TT
TT-UTC 69184 ms
RFRAME CTS
MRELAT  Post Newt. IERS-2003
MNUTAT  IAU200OA compl.+off.
MPOTER  COMB-Projekt D1 + CH
MPOLUN  FERRARI77
METID   IERS-Conv. (1996)
MOTID   EOT11a, Load Love Nu
MATMOS  DTM 94bis
MALBED  No Albedo
MEPHEM  DE200/LE200
COMENT The ORBIT line marks end of the header and start of the trajectory records
 7004582581184000   569538714 -4366765542  5287183210-25884474902 54444321840 47628145861      0      0   2000    0 LA 
 7004582611184000   491949122 -4200905731  5427130746-25835982927 56118750152 45661682232      0      0   2000    0 LA 
 7004582641184000   414558269 -4030114826  5561103228-25752039948 57731395141 43645144347      0      0   2000    0 LA 
 7004582671184000   337471964 -3854581049  5688953765-25633017494 59280354445 41580761629      0      0   2000    0 WA 
 7004582701184000   260794827 -3674498218  5810542230-25479333721 60763798388 39470813284      0      0   2000    0 WA 
 7004582731184000   184630160 -3490065531  5925735404-25291452558 62179971788 37317625682      0      0   1000    0 WA 
 7004582761184000   109079802 -3301487339  6034407115-25069882985 63527195484 35123570031      0      0   1000    0 WA 
 7004582791184000    34243999 -3108972912  6136438368-24815178113 64803868341 32891059735      0      0   1000    0 WA 
 7004582821184000   -39778726 -2912736205  6231717470-24527933463 66008468375 30622547635      0      0   1000    0 LA 
 7004582851184000  -112891697 -2712995619  6320140142-24208785519 67139554073 28320524593      0      0   1000    0 LA 
 7004582881184000  -185000211 -2509973756  6401609632-23858411137 68195767181 25987516910      0      0   1000    0 WA 
 7004582911184000  -256011653 -2303897165  6476036815-23477526602 69175834006 23626081980      0      0   1000    0 LA 
 7004582941184000  -325835614 -2094996090  6543340282-23066886447 70078565050 21238806202      0      0   1000    0 LA 
 7004582971184000  -394384007 -1883504217  6603446425-22627282696 70902857039 18828304312      0      0   1000    0 WA 
 7004583001184000  -461571173 -1669658404  6656289521-22159543495 71647696287 16397215904      0      0      0    0 WA 
 7004583031184000  -527313993 -1453698418  6701811794-21664530809 72312159463 13948201130      0      0      0    0 WA 
 7004583061184000  -591531978 -1235866660  6739963479-21143138749 72895413125 11483938499      0      0      0    0 WA 
 7004583091184000  -654147371 -1016407894  6770702872-20596293357 73396714954  9007123488      0      0      0    0 WA 
 7004583121184000  -715085241  -795568974  6793996376-20024952079 73815416049  6520464474      0      0      0    0 WA 
 7004583151184000  -774273573  -573598558  6809818532-19430101537 74150960495  4026678321      0      0      0    0 WA 
 7004583181184000  -831643354  -350746834  6818152042-18812755460 74402884841  1528489030      0      0      0    0 WA 
 7004583211184000  -887128649  -127265241  6818987792-18173953340 74570819720  -971374098      0      0      0    0 WD 
 7004583241184000  -940666681    96593818  6812324855-17514758912 74654491029 -3470179652      0      0      0    0 WD 
 7004583271184000  -992197896   320577260  6798170502-16836258705 74653720506 -5965197784      0      0      0    0 WD 
 7004583301184000 -1041666034   544431613  6776540181-16139560327 74568425001 -8453703854      0      0      0    0 WD 
 7004583331184000 -1089018186   767903293  6747457508-15425790536 74398615616-10932980124      0      0      0    0 WD 
 7004583361184000 -1134204850   990738895  6710954240-14696093935 74144398518-13400317235      0      0      0    0 WD 
 7004583391184000 -1177179984  1212685475  6667070243-13951631923 73805975760-15853017166      0      0      0    0 WD 
 7004583421184000 -1217901053  1433490839  6615853458-13193581233 73383645681-18288396631      0      0      0    0 WD 
 7004583451184000 -1256329072  1652903833  6557359849-12423131871 72877802609-20703791067      0      0      0    0 LD 
 7004583481184000 -1292428646  1870674627  6491653340-11641484851 72288935073-23096557282      0      0  -1000    0 LD 
 7004583511184000 -1326167994  2086554998  6418805755-10849850894 71617625393-25464074356      0      0  -1000    0 LD 
 7004583541184000 -1357518984  2300298612  6338896740-10049449522 70864550732-27803746299      0      0  -1000    0 LD 
 7004583571184000 -1386457151  2511661307  6252013691 -9241507689 70030483161-30113005837      0      0  -1000    0 LD 
 7004583601184000 -1412961722  2720401381  6158251654 -8427257933 69116288711-32389318042      0      0  -1000    0 LD 
 7004583631184000 -1437015626  2926279867  6057713231 -7607935647 68122925664-34630183411      0      0  -1000    0 LD 
 7004583661184000 -1458605499  3129060812  5950508464 -6784776405 67051442883-36833139856      0      0  -1000    0 LD 
 7004583691184000 -1477721682  3328511540  5836754725 -5959014578 65902978484-38995763874      0      0  -1000    0 LD 
 7004583721184000 -1494358216  3524402926  5716576598 -5131882736 64678760338-41115671413      0      0  -1000    0 LD 
 7004583751184000 -1508512838  3716509664  5590105755 -4304610624 63380107284-43190521758      0      0  -2000    0 LD 
 7004583781184000 -1520186965  3904610540  5457480819 -3478423217 62008427205-45218022768      0      0  -2000    0 LD 
